Species,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14,Rank_15,Rank_16,Rank_17,Rank_18,Rank_19,Rank_20,Rank_21,Rank_22,Rank_23,Rank_24,Rank_25
Sulfurihydrogenibium azorense,cellular organisms,Bacteria,Pseudomonadati,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,,,,,,,,,,,,,,,,,
Sulfurimonas denitrificans,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,,,,,,,,,,,,,,,,,
Sulfuritalea hydrogenivorans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuritalea,,,,,,,,,,,,,,,,,
Sulfurospirillum barnesii,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,,,,,,,,,,,,,,,,
Sulfurospirillum cavolei,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,,,,,,,,,,,,,,,,
Sulfurospirillum deleyianum,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,,,,,,,,,,,,,,,,
Sulfurospirillum halorespirans,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,,,,,,,,,,,,,,,,
Sulfurospirillum multivorans,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,,,,,,,,,,,,,,,,
Sulfurospirillum sp. JPD-1,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,,,,,,,,,,,,,,,,
Sulfurospirillum sp. SL2-1,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,,,,,,,,,,,,,,,,,
Sulfurospirillum sp. UCH001,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,unclassified Sulfurospirillum,,,,,,,,,,,,,,,,
Symbiobacterium thermophilum,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Symbiobacteriaceae,Symbiobacterium,,,,,,,,,,,,,,,,,
Synechococcus lividus,,,,,,,,,,,,,,,,,,,,,,,,,
Synechococcus phage ACG-2014d,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Lowelvirus,Lowelvirus tuscon4d,,,,,,,,,,,,,,,,,
Synechococcus phage ACG-2014e,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Chalconvirus,Chalconvirus acg2014e,,,,,,,,,,,,,,,,,
Synechococcus phage ACG-2014h,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Sedonavirus,Sedonavirus tusconh,,,,,,,,,,,,,,,,,
Synechococcus phage ACG-2014i,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Chalconvirus,Chalconvirus acg2014i,,,,,,,,,,,,,,,,,
Synechococcus phage S-CAM1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Anaposvirus,Anaposvirus socalone,,,,,,,,,,,,,,,,,
Synechococcus phage S-CAM3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Charybdisvirus,Charybdisvirus scam3,,,,,,,,,,,,,,,,,
Synechococcus phage S-IOM18,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Tefnutvirus,Tefnutvirus siom18,,,,,,,,,,,,,,,,,
Synechococcus phage S-PM2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Nodensvirus,Nodensvirus spm2,,,,,,,,,,,,,,,,,
Synechococcus phage S-RIM2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Nerrivikvirus,Nerrivikvirus srim2,,,,,,,,,,,,,,,,,
Synechococcus phage S-RSM4,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Gibbetvirus,Gibbetvirus rsm4,,,,,,,,,,,,,,,,,
Synechococcus phage S-SKS1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Llyrvirus,Llyrvirus SSKS1,,,,,,,,,,,,,,,,,,
Synechococcus phage S-SM1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Thetisvirus,Thetisvirus ssm1,,,,,,,,,,,,,,,,,
Synechococcus phage S-SM2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Nilusvirus,Nilusvirus ssm2,,,,,,,,,,,,,,,,,
Synechococcus phage S-SSM7,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Lipsvirus,Lipsvirus ssm7,,,,,,,,,,,,,,,,,
Synechococcus phage S-ShM2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Ahtivirus,Ahtivirus sagseatwo,,,,,,,,,,,,,,,,,
Synechococcus phage S-WAM1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Sokavirus,Sokavirus swam1,,,,,,,,,,,,,,,,,
Synechococcus phage S-WAM2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Cymopoleiavirus,Cymopoleiavirus swam2,,,,,,,,,,,,,,,,,
Synechococcus phage syn9,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Ormenosvirus,Ormenosvirus syn9,,,,,,,,,,,,,,,,,
Synechococcus sp. CC9311,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. CC9605,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. CC9902,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. JA-2-3B'a(2-13),,,,,,,,,,,,,,,,,,,,,,,,,
Synechococcus sp. JA-3-3Ab,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. KORDI-100,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. KORDI-49,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. KORDI-52,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. NIES-970,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Picosynechococcus,unclassified Picosynechococcus,,,,,,,,,,,,,,
Synechococcus sp. PCC 6312,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. PCC 7003,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Picosynechococcus,unclassified Picosynechococcus,,,,,,,,,,,,,,
Synechococcus sp. PCC 7117,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Picosynechococcus,unclassified Picosynechococcus,,,,,,,,,,,,,,
Synechococcus sp. PCC 7502,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. RCC307,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. SynAce01,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. WH 7803,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. WH 8102,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Parasynechococcus,Parasynechococcus marenigrum,,,,,,,,,,,,,,,
Synechococcus sp. WH 8103,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechococcus sp. WH 8109,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,unclassified Synechococcus,,,,,,,,,,,,,,,
Synechocystis sp. PCC 6714,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,unclassified Synechocystis,,,,,,,,,,,,,,,
Synechocystis sp. PCC 6803,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,unclassified Synechocystis,,,,,,,,,,,,,,,
Syntrophobacter fumaroxidans,cellular organisms,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,,,,,,,,,,,,,,,,,
Syntrophobotulus glycolicus,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Syntrophobotulus,,,,,,,,,,,,,,,,,
Syntrophomonas wolfei,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophomonas,,,,,,,,,,,,,,,,,
Syntrophus aciditrophicus,cellular organisms,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus,,,,,,,,,,,,,,,,,
Tamlana sp. UJ94,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pseudotamlana,,,,,,,,,,,,,,,
Tannerella forsythia,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,,,,,,,,,,,,,,,
Tannerella sp. oral taxon HOT-286,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,,,,,,,,,,,,,,,
Tateyamaria omphalii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Tateyamaria,,,,,,,,,,,,,,,,,
Tatlockia micdadei,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Tatumella citrea,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella,,,,,,,,,,,,,,,,,
Tenacibaculum dicentrarchi,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,,,,,,,,,,,,,,
Tenacibaculum jejuense,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,,,,,,,,,,,,,,
Tenacibaculum maritimum,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,,,,,,,,,,,,,,
Tenacibaculum sp. LPB0136,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,,,,,,,,,,,,,,
Tepidanaerobacter acetatoxydans,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Thermosediminibacterales,Tepidanaerobacteraceae,Tepidanaerobacter,,,,,,,,,,,,,,,,,
Teredinibacter turnerae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter,,,,,,,,,,,,,,,,,
Terribacillus aidingensis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Terribacillus,,,,,,,,,,,,,,,,,
Terriglobus roseus,cellular organisms,Bacteria,Pseudomonadati,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terriglobus,,,,,,,,,,,,,,,,,
Terriglobus saanensis,cellular organisms,Bacteria,Pseudomonadati,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terriglobus,,,,,,,,,,,,,,,,,
Tessaracoccus aquimaris,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,,,,,,,,,,,,,,,,,
Tessaracoccus flavescens,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,,,,,,,,,,,,,,,,,
Tessaracoccus flavus,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,,,,,,,,,,,,,,,,,
Tessaracoccus sp. T2.5-30,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,unclassified Tessaracoccus,,,,,,,,,,,,,,,,
Tetragenococcus halophilus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,,,,,,,,,,,,,,,,,
Thalassolituus oleivorans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus,,,,,,,,,,,,,,,,,
Thalassospira sp. CSC3H3,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,,,,,,,,,,,,,,,,,
Thalassospira xiamenensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,,,,,,,,,,,,,,,,,
Thalassotalea crassostreae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,,,,,,,,,,,,,,,,,
Thauera chlorobenzoica,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,,,,,,,,,,,,,,,,,
Thauera humireducens,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,,,,,,,,,,,,,,,,,
Thauera sp. K11,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,unclassified Thauera,,,,,,,,,,,,,,,,
Thauera sp. MZ1T,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,,,,,,,,,,,,,,,,,
Theileria orientalis,cellular organisms,Eukaryota,Sar,Alveolata,Apicomplexa,Aconoidasida,Piroplasmida,Theileriidae,Theileria,,,,,,,,,,,,,,,,
Thermacetogenium phaeum,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium,,,,,,,,,,,,,,,,,
Thermaerobacter marianensis,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Eubacteriales incertae sedis,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,,,,,,,,,,,,,,,
Thermanaerovibrio acidaminovorans,cellular organisms,Bacteria,Thermotogati,Synergistota,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,,,,,,,,,,,,,,,,,
Thermoanaerobacter kivui,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,,,,,,,,,,,,,,,,
Thermoanaerobacter wiegelii,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,,,,,,,,,,,,,,,,
Thermoanaerobacterium thermosaccharolyticum,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium,,,,,,,,,,,,,,,,,
Thermoanaerobacterium xylanolyticum,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium,,,,,,,,,,,,,,,,,
Thermobacillus composti,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,,,,,,,,,,,,,,,,,
Thermobaculum terrenum,cellular organisms,Bacteria,Bacillati,Chloroflexota,Chloroflexia,Candidatus Thermobaculales,Candidatus Thermobaculaceae,Thermobaculum,,,,,,,,,,,,,,,,,
Thermobifida fusca,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Thermobifida,,,,,,,,,,,,,,,,,
Thermobispora bispora,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Thermobispora,,,,,,,,,,,,,,,,,
Thermococcus kodakarensis,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,,,,,,,,,,,,,,,,
Thermococcus litoralis,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,,,,,,,,,,,,,,,,
Thermococcus peptonophilus,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,,,,,,,,,,,,,,,,
Thermocrinis ruber,cellular organisms,Bacteria,Pseudomonadati,Aquificota,Aquificia,Aquificales,Aquificaceae,Thermocrinis,,,,,,,,,,,,,,,,,
Thermodesulfobacterium commune,cellular organisms,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,,,,,,,,,,,,,,,,,
Thermogutta terrifontis,cellular organisms,Bacteria,Pseudomonadati,PVC group,Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,Thermogutta,,,,,,,,,,,,,,,,
Thermomicrobium roseum,cellular organisms,Bacteria,Pseudomonadati,Thermomicrobiota,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,,,,,,,,,,,,,,,,,
Thermomonospora curvata,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Thermomonospora,,,,,,,,,,,,,,,,,
Thermosynechococcus elongatus,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Acaryochloridales,Thermosynechococcaceae,Thermosynechococcus,,,,,,,,,,,,,,,,
Thermothelomyces thermophila,,,,,,,,,,,,,,,,,,,,,,,,,
Thermus aquaticus,cellular organisms,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,,,,,,,,,,,,,,,,,
Thermus brockianus,cellular organisms,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,,,,,,,,,,,,,,,,,
Thermus oshimai,cellular organisms,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,,,,,,,,,,,,,,,,,
Thermus parvatiensis,cellular organisms,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,,,,,,,,,,,,,,,,,
Thermus phage phiYS40,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Thermus scotoductus,cellular organisms,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,,,,,,,,,,,,,,,,,
Thermus sp. CCB_US3_UF1,cellular organisms,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,unclassified Thermus,,,,,,,,,,,,,,,,
Thermus thermophilus,cellular organisms,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,,,,,,,,,,,,,,,,,
Thielavia terrestris,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Thermothielavioides,,,,,,,,,,
Thioalkalivibrio nitratireducens,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,,,,,,,,,,,,,,,,,
Thioalkalivibrio paradoxus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,,,,,,,,,,,,,,,,,
Thioalkalivibrio sp. K90mix,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,unclassified Thioalkalivibrio,,,,,,,,,,,,,,,,
Thioalkalivibrio sulfidiphilus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,,,,,,,,,,,,,,,,,
Thioalkalivibrio versutus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,,,,,,,,,,,,,,,,,
Thiobacillus denitrificans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Thiobacillus,,,,,,,,,,,,,,,,,
Thiobacimonas profunda,,,,,,,,,,,,,,,,,,,,,,,,,
Thioclava nitratireducens,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Thioclava,,,,,,,,,,,,,,,,,
Thiocystis violascens,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocystis,,,,,,,,,,,,,,,,,
Thioflavicoccus mobilis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thioflavicoccus,,,,,,,,,,,,,,,,,
Thiohalobacter thiocyanaticus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiohalobacterales,Thiohalobacteraceae,Thiohalobacter,,,,,,,,,,,,,,,,,
Thiolapillus brandeum,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus,,,,,,,,,,,,,,,,,
Thiomicrospira aerophila,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,,,,,,,,,,,,,,,,,
Thiomicrospira cyclica,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,,,,,,,,,,,,,,,,,
Thiomonas intermedia,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiales genera incertae sedis,Thiomonas,,,,,,,,,,,,,,,,,
Thioploca ingrica,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thioploca,,,,,,,,,,,,,,,,,
Thrips-associated genomovirus 2,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,unclassified Genomoviridae,,,,,,,,,,,,,,,,,
Tipula oleracea nudivirus,Viruses,Viruses incertae sedis,Naldaviricetes,Lefavirales,Nudiviridae,Deltanudivirus,Deltanudivirus tipoleraceae,,,,,,,,,,,,,,,,,,
Tistrella mobilis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,Tistrella,,,,,,,,,,,,,,,,,
Tobacco vein clearing virus,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Solendovirus,Solendovirus venanicotianae,,,,,,,,,,,,,,,,
Tokyovirus A1,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Pimascovirales incertae sedis,Marseilleviridae,Marseillevirus,unclassified Marseillevirus,,,,,,,,,,,,,,,
Tolumonas auensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,,,,,,,,,,,,,,,,,
